age,education,education-num,marital-status,occupation,relationship,race,sex
"[36, 39)",Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male
"[48, 51)",Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male
"[36, 39)",HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male
"[51, 54)",11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male
"[27, 30)",Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female
"[36, 39)",Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female
"[48, 51)",9th,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female
"[51, 54)",HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male
"[30, 33)",Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female
"[39, 42)",Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male
"[36, 39)",Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male
"[27, 30)",Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male
"[21, 24)",Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female
"[30, 33)",Assoc-acdm,12,Never-married,Sales,Not-in-family,Black,Male
"[39, 42)",Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male
"[33, 36)",7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male
"[24, 27)",HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male
"[30, 33)",HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male
"[36, 39)",11th,7,Married-civ-spouse,Sales,Husband,White,Male
"[42, 45)",Masters,14,Divorced,Exec-managerial,Unmarried,White,Female
"[39, 42)",Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male
"[51, 54)",HS-grad,9,Separated,Other-service,Unmarried,Black,Female
"[33, 36)",9th,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male
"[42, 45)",11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male
"[57, 60)",HS-grad,9,Divorced,Tech-support,Unmarried,White,Female
"[54, 57)",Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male
"[18, 21)",HS-grad,9,Never-married,Craft-repair,Own-child,White,Male
"[51, 54)",Some-college,10,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male
"[36, 39)",HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male
"[48, 51)",HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male
"[21, 24)",Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male
"[18, 21)",Some-college,10,Never-married,Sales,Own-child,Black,Male
"[42, 45)",Bachelors,13,Divorced,Exec-managerial,Own-child,White,Male
"[27, 30)",Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male
"[21, 24)",Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male
"[45, 48)",11th,7,Never-married,Machine-op-inspct,Unmarried,White,Male
"[18, 21)",Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male
"[18, 21)",HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,White,Female
"[30, 33)",Some-college,10,Married-civ-spouse,Sales,Husband,White,Male
"[45, 48)",Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male
"[30, 33)",9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male
"[51, 54)",Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male
"[21, 24)",Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male
"[48, 51)",HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female
"[24, 27)",HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male
"[54, 57)",Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male
